ID,Platform,Username,Display Name,Followers,Region,Country Code,Inferred Country,Category,Is Live,Avatar URL,Profile URL,Language
cmk6ibqzi071rl370adtom4j1,YOUTUBE,"comunicreando","Comunicreando",472000,MEXICO,,,Gaming,No,https://yt3.googleusercontent.com/3E5-lEahLytBsgF9poZvjf7xUETWXF03270iIii4-jcVkgToRAAPOFMWpBNL4jeISQ6wb6mYag=s68-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCwZ6l0gbQFJJR_Jk6Vpdy_w,es
cmk6ibayn06ill3704o5ki7oo,YOUTUBE,"skeletalmax","SkeletalMax",471000,MEXICO,,,Gaming,No,https://yt3.googleusercontent.com/NOfvDytUZSAxNw-oEzTl0sO70xcx8ntCV9P8wK7nEmoIkbFLKT9Ql0URS2k7HlJcTqWhOPIzcw=s68-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UClkDu7zkoqGMrd-ojbP64UA,es
cmk6ia05604x6l37084i6xres,YOUTUBE,"alertaexpress","Alerta Express",467000,MEXICO,,,Gaming,No,https://yt3.googleusercontent.com/6A2LIXYQarU-1zg0Rz56I2dbk3ZOd3a3pfF2srCz97jzi4IgTo28TcK_aZhO97s1Kp8v1BCPKw=s68-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCIJ8U--xE1fMPezfkEYR-UQ,es
cmk7d6mrw001569k71m812ey3,TWITCH,"sirmaza","SirMaza",465196,MEXICO,,,Gaming,No,https://static-cdn.jtvnw.net/jtv_user_pictures/cc594a1b-4ace-4cbd-9846-f871f329bd39-profile_image-300x300.png,https://twitch.tv/sirmaza,es
cmk6ibnlq06xbl370vvtea9c9,YOUTUBE,"drogadigital","DrogaDigital",461000,MEXICO,,,Gaming,No,https://yt3.googleusercontent.com/Zg3_UYQKj1zpQzY3L4BuYu6iEfbyUzcdKxz9R6dHlho6KCcn4V8CZTEmbGPsfwsrsXg8hU2j=s68-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCC9eo_cxdgW2_z2QLbowt_Q,es
cmk6ic79g07m5l370y0votf2w,YOUTUBE,"esoterismo ayuda espiritual","ESOTERISM SPIRITUAL HELP",461000,MEXICO,,,Gaming,No,https://yt3.googleusercontent.com/jMcQtuNJpEHrt6jSlayUBkgfX50JndkBTeBjb1DEqJgGMXNNqb1nDjc2SYhEgA_YN7wsy8nPSI4=s160-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UC_vbTKGhArMpXHJETy3P4fg,es
cmk6ia7xl0573l370whw5jno3,YOUTUBE,"perrotegamer","El Perrote Gamer",459000,MEXICO,,,Gaming,No,https://yt3.googleusercontent.com/2wsqdpr25y4RQg4tSd4lvEEDtzoYwi4l2lVH2xUZaDbrxWqwJHBkztPUuPxxa6kHfoiyCAfGbuw=s160-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCXiuDc7chHOVogha6OGtTEA,es
cmk6iahef05irl370onjvv6h6,YOUTUBE,"el gallo mx","EL GALLO MX",458000,MEXICO,,,Gaming,No,https://yt3.googleusercontent.com/9ejS42IERDDQuUE7eF0dR6Ix4VUPlK_5K5iacRFlMoRA9op6i-ctL-ACPhoWpuX3JWeYHqt2ml0=s160-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCjZhTmIONTVhKoHDTuYMIPA,es
cmk6ibqwh071nl370rdufdn0r,YOUTUBE,"rdr tv","Rdr TV",458000,MEXICO,,,Gaming,No,https://yt3.googleusercontent.com/hY8LH6Y2ajFZnhiWrZSmvObu-bpigrvDKHKw71n-fxtSwK54JAZo-DAWTNvnnXypKfv5ugYuTKs=s160-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCa6x7RF5Y37KKh6DpQv0pmw,es
cmk6i8qox03bjl370yzmr125s,TWITCH,"rene8808","rene8808",456518,MEXICO,,,IRL,No,https://static-cdn.jtvnw.net/jtv_user_pictures/9c16cda6-148b-4b6c-a98b-c77c640dabbe-profile_image-300x300.png,https://twitch.tv/rene8808,es
cmk6icsm908asl370utclzmsg,YOUTUBE,"rompeviento tv","Rompeviento TV",454000,MEXICO,,,Gaming,No,https://yt3.googleusercontent.com/xRAw2ycVD5YUzyKudXvslrnHpv2OBUn9FlzdLg2viP8I4eAeYwDNZcRUrjJsvcIXQYvXCt-1HA=s68-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCBdM6w8S6kn90P0or3Z0kxQ,es
cmk6ia7zt0576l3700vv3tw8g,YOUTUBE,"ridtvmexico","RID Tv",454000,MEXICO,,,Gaming,No,https://yt3.googleusercontent.com/e9lUzqlNMKN-FKGAPGfTcK1JUVXdiKpu6AFuxvDCZrmMvU1GpVl1T3F9Vy7aBjSNVyXAQwvS=s68-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCNnGEB_zUCOpD4VoU9qSeQQ,es
cmk6i7f4o01msl370s4sczim9,TWITCH,"renrize","RenRize",447720,MEXICO,,,Gaming,Yes,https://static-cdn.jtvnw.net/jtv_user_pictures/a969a69b-15a3-429e-98f1-0e3507ef43ad-profile_image-300x300.png,https://twitch.tv/renrize,es
cmk6ibog106yfl3707ohs6ekf,YOUTUBE,"lópez-dóriga","López-Dóriga",447000,MEXICO,,,Gaming,No,https://yt3.googleusercontent.com/5fTJMxiadOhy2llyw_IqEON4zWZ5qPBQSvzuBMvW-DqzcEDaqvkbXIFObYNdR7qSfkcI-RE0FQ=s160-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCM-GvgUy0EAZU7ZwXKLarkg,es
cmk6ianse05qjl3707fx7vkma,YOUTUBE,"hulk producciones oficial","Hulk Producciones Oficial",446000,MEXICO,,,Gaming,No,https://yt3.googleusercontent.com/ZE4i7hqhtHxhD1ekAbwI9zlIPaY93UUSpns9PxMdcwFxe-GJJjXH4YSB37SQOjIN6dEg6vRgHEI=s160-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCBOBt0FTSMGA99vC1LQwF4Q,es
cmk6i9eg40466l3708hgv6qab,TWITCH,"danielaazuaje_","DanielaAzuaje_",444971,MEXICO,,,IRL,No,https://static-cdn.jtvnw.net/jtv_user_pictures/1bf73a45-8083-40b1-9df1-d568f98b9536-profile_image-300x300.png,https://twitch.tv/danielaazuaje_,es
